"shard","parent_id","s3_prefix","neighborhood","city","region","country","country_code","destination","lat","lng","anchor_hint","why_fit"
"02","neighborhoods/in-madurai/madurai-city-center","images/Neighborhood_POIs/in-madurai/madurai-city-center/","Madurai City Center","Madurai","","India","IN","Madurai City Center, Madurai, India","9.9195045","78.1193418","Meenakshi Amman Temple","Historic temple commercial core"
"03","neighborhoods/in-mahbubnagar/city-centre","images/Neighborhood_POIs/in-mahbubnagar/city-centre/","City Centre","Mahbūbnagar","","India","IN","City Centre, Mahbūbnagar, India","16.74385","77.98597","Mahbūbnagar city center","Central urban district (auto-added, pop >=100k)"
"04","neighborhoods/in-mahesana/city-centre","images/Neighborhood_POIs/in-mahesana/city-centre/","City Centre","Mahesāna","","India","IN","City Centre, Mahesāna, India","23.59864","72.38472","Mahesāna city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/in-maheshtala/town-center","images/Neighborhood_POIs/in-maheshtala/town-center/","Town Center","Maheshtala","","India","IN","Town Center, Maheshtala, India","22.4990766","88.2276499","Maheshtala Town Hall","central built-up area"
"06","neighborhoods/in-malappuram/city-centre","images/Neighborhood_POIs/in-malappuram/city-centre/","City Centre","Malappuram","","India","IN","City Centre, Malappuram, India","11.04199","76.08154","Malappuram city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/in-malda/city-centre","images/Neighborhood_POIs/in-malda/city-centre/","City Centre","Malda","","India","IN","City Centre, Malda, India","25.00447","88.14573","Malda city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/in-malegaon/city-centre","images/Neighborhood_POIs/in-malegaon/city-centre/","City Centre","Malegaon","","India","IN","City Centre, Malegaon, India","20.54966","74.53462","Malegaon city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/in-maler-kotla/city-centre","images/Neighborhood_POIs/in-maler-kotla/city-centre/","City Centre","Māler Kotla","","India","IN","City Centre, Māler Kotla, India","30.5309","75.87949","Māler Kotla city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/in-mandsaur/city-centre","images/Neighborhood_POIs/in-mandsaur/city-centre/","City Centre","Mandsaur","","India","IN","City Centre, Mandsaur, India","24.07184","75.06986","Mandsaur city center","Central urban district (auto-added, pop >=100k)"
"11","neighborhoods/in-mandya/city-centre","images/Neighborhood_POIs/in-mandya/city-centre/","City Centre","Mandya","","India","IN","City Centre, Mandya, India","12.5223","76.89746","Mandya city center","Central urban district (auto-added, pop >=100k)"
"12","neighborhoods/in-mangaluru/balmatta","images/Neighborhood_POIs/in-mangaluru/balmatta/","Balmatta","Mangaluru","","India","IN","Balmatta, Mangaluru, India","12.87304","74.8499484","Balmatta Circle","Upscale dining commercial district"
"13","neighborhoods/in-mangaluru/lalbagh","images/Neighborhood_POIs/in-mangaluru/lalbagh/","Lalbagh","Mangaluru","","India","IN","Lalbagh, Mangaluru, India","12.8868133","74.8414699","Lalbagh Park Mangalore","Affluent central residential area"
"14","neighborhoods/in-mathura/city-center","images/Neighborhood_POIs/in-mathura/city-center/","City Center","Mathura","","India","IN","City Center, Mathura, India","27.5054009","77.6692203","Krishna Janmabhoomi Temple","central temple tourist district"
"15","neighborhoods/in-mau/city-centre","images/Neighborhood_POIs/in-mau/city-centre/","City Centre","Mau","","India","IN","City Centre, Mau, India","25.94167","83.56111","Mau city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/in-medinipur/city-centre","images/Neighborhood_POIs/in-medinipur/city-centre/","City Centre","Medinīpur","","India","IN","City Centre, Medinīpur, India","22.42114","87.32257","Medinīpur city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/in-meerut/sadar-bazaar","images/Neighborhood_POIs/in-meerut/sadar-bazaar/","Sadar Bazaar","Meerut","","India","IN","Sadar Bazaar, Meerut, India","28.9940471","77.7008509","Sadar Bazaar Meerut","Central commercial shopping district"
"18","neighborhoods/in-meerut/shastri-nagar","images/Neighborhood_POIs/in-meerut/shastri-nagar/","Shastri Nagar","Meerut","","India","IN","Shastri Nagar, Meerut, India","28.9576362","77.7379234","Shastri Nagar Park","Upscale residential area"
"19","neighborhoods/in-miryalaguda/city-centre","images/Neighborhood_POIs/in-miryalaguda/city-centre/","City Centre","Miryalaguda","","India","IN","City Centre, Miryalaguda, India","16.8722","79.56247","Miryalaguda city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/in-mirzapur/city-centre","images/Neighborhood_POIs/in-mirzapur/city-centre/","City Centre","Mirzāpur","","India","IN","City Centre, Mirzāpur, India","25.1449","82.56534","Mirzāpur city center","Central urban district (auto-added, pop >=100k)"
"01","neighborhoods/in-moga/city-centre","images/Neighborhood_POIs/in-moga/city-centre/","City Centre","Moga","","India","IN","City Centre, Moga, India","30.81383","75.16878","Moga city center","Central urban district (auto-added, pop >=100k)"
"02","neighborhoods/in-moradabad/civil-lines","images/Neighborhood_POIs/in-moradabad/civil-lines/","Civil Lines","Morādābād","","India","IN","Civil Lines, Morādābād, India","28.830842","78.7680107","Moradabad Clock Tower","Central upscale commercial district"
"03","neighborhoods/in-morena/city-centre","images/Neighborhood_POIs/in-morena/city-centre/","City Centre","Morena","","India","IN","City Centre, Morena, India","26.49892","77.99534","Morena city center","Central urban district (auto-added, pop >=100k)"
"04","neighborhoods/in-mormugao/city-centre","images/Neighborhood_POIs/in-mormugao/city-centre/","City Centre","Mormugao","","India","IN","City Centre, Mormugao, India","15.38914","73.81491","Mormugao city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/in-morvi/city-centre","images/Neighborhood_POIs/in-morvi/city-centre/","City Centre","Morvi","","India","IN","City Centre, Morvi, India","22.81731","70.8377","Morvi city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/in-mothihari/city-centre","images/Neighborhood_POIs/in-mothihari/city-centre/","City Centre","Mothīhāri","","India","IN","City Centre, Mothīhāri, India","26.64862","84.91656","Mothīhāri city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/in-muktsar/city-centre","images/Neighborhood_POIs/in-muktsar/city-centre/","City Centre","Muktsar","","India","IN","City Centre, Muktsar, India","30.47426","74.5166","Muktsar city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/in-mulugu/town-centre","images/Neighborhood_POIs/in-mulugu/town-centre/","Town Centre","Mulugu","","India","IN","Town Centre, Mulugu, India","18.1917881","79.9458843","Mulugu Bus Stand","Central area"
"09","neighborhoods/in-munger/city-centre","images/Neighborhood_POIs/in-munger/city-centre/","City Centre","Munger","","India","IN","City Centre, Munger, India","25.37459","86.47455","Munger city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/in-murwara/city-centre","images/Neighborhood_POIs/in-murwara/city-centre/","City Centre","Murwāra","","India","IN","City Centre, Murwāra, India","23.83776","80.39405","Murwāra city center","Central urban district (auto-added, pop >=100k)"
"11","neighborhoods/in-muzaffarnagar/town-center","images/Neighborhood_POIs/in-muzaffarnagar/town-center/","Town Center","Muzaffarnagar","","India","IN","Town Center, Muzaffarnagar, India","29.3713391","78.1346465","Muzaffarnagar Clock Tower","central market commercial district"
"12","neighborhoods/in-muzaffarpur/town-center","images/Neighborhood_POIs/in-muzaffarpur/town-center/","Town Center","Muzaffarpur","","India","IN","Town Center, Muzaffarpur, India","26.1196621","85.3909455","Ram Chandra Chowk Muzaffarpur","central market commercial district"
"13","neighborhoods/in-mysuru/jayalakshmipuram","images/Neighborhood_POIs/in-mysuru/jayalakshmipuram/","Jayalakshmipuram","Mysuru","","India","IN","Jayalakshmipuram, Mysuru, India","12.3236638","76.6207599","Jayalakshmipuram Temple","affluent residential area"
"14","neighborhoods/in-mysuru/vijayanagar","images/Neighborhood_POIs/in-mysuru/vijayanagar/","Vijayanagar","Mysuru","","India","IN","Vijayanagar, Mysuru, India","12.965899","77.5350599","Vijayanagar Bus Stand","modern residential commercial"
"15","neighborhoods/in-nadiad/city-centre","images/Neighborhood_POIs/in-nadiad/city-centre/","City Centre","Nadiād","","India","IN","City Centre, Nadiād, India","22.69385","72.86157","Nadiād city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/in-nagaon/city-centre","images/Neighborhood_POIs/in-nagaon/city-centre/","City Centre","Nagaon","","India","IN","City Centre, Nagaon, India","26.35","92.66667","Nagaon city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/in-nagapattinam/city-centre","images/Neighborhood_POIs/in-nagapattinam/city-centre/","City Centre","Nagapattinam","","India","IN","City Centre, Nagapattinam, India","10.76377","79.84313","Nagapattinam city center","Central urban district (auto-added, pop >=100k)"
"18","neighborhoods/in-nagaur/city-centre","images/Neighborhood_POIs/in-nagaur/city-centre/","City Centre","Nāgaur","","India","IN","City Centre, Nāgaur, India","27.20201","73.73394","Nāgaur city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/in-nagda/city-centre","images/Neighborhood_POIs/in-nagda/city-centre/","City Centre","Nagda","","India","IN","City Centre, Nagda, India","23.45834","75.41759","Nagda city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/in-nagercoil/city-centre","images/Neighborhood_POIs/in-nagercoil/city-centre/","City Centre","Nāgercoil","","India","IN","City Centre, Nāgercoil, India","8.17899","77.43227","Nāgercoil city center","Central urban district (auto-added, pop >=100k)"
"01","neighborhoods/in-nagpur/civil-lines","images/Neighborhood_POIs/in-nagpur/civil-lines/","Civil Lines","Nagpur","","India","IN","Civil Lines, Nagpur, India","21.1523458","79.0718711","Nagpur Civil Lines Police Station, Civil Lines, Nagpur, India","central upscale administrative district"
"02","neighborhoods/in-nagpur/sitabuldi","images/Neighborhood_POIs/in-nagpur/sitabuldi/","Sitabuldi","Nagpur","","India","IN","Sitabuldi, Nagpur, India","21.1488265","79.0843655","Sitabuldi Fort, Sitabuldi, Nagpur, India","central commercial market hub"
"03","neighborhoods/in-naihati/station-area","images/Neighborhood_POIs/in-naihati/station-area/","Station Area","Naihāti","","India","IN","Station Area, Naihāti, India","22.8874565","88.4180855","Naihati Railway Station","central commercial district"
"04","neighborhoods/in-najafgarh/najafgarh-town-center","images/Neighborhood_POIs/in-najafgarh/najafgarh-town-center/","Najafgarh Town Center","Najafgarh","","India","IN","Najafgarh Town Center, Najafgarh, India","28.61461","76.97802","Najafgarh Bus Stand","Central commercial district"
"05","neighborhoods/in-nalgonda/city-centre","images/Neighborhood_POIs/in-nalgonda/city-centre/","City Centre","Nalgonda","","India","IN","City Centre, Nalgonda, India","17.05439","79.26707","Nalgonda city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/in-nanded/city-center","images/Neighborhood_POIs/in-nanded/city-center/","City Center","Nanded","","India","IN","City Center, Nanded, India","19.1600641","77.310498","Nanded Railway Station","central commercial core"
"07","neighborhoods/in-nanded/vazirabad","images/Neighborhood_POIs/in-nanded/vazirabad/","Vazirabad","Nanded","","India","IN","Vazirabad, Nanded, India","19.1531535","77.3109835","Vazirabad Market","central commercial market area"
"08","neighborhoods/in-nandurbar/city-centre","images/Neighborhood_POIs/in-nandurbar/city-centre/","City Centre","Nandurbar","","India","IN","City Centre, Nandurbar, India","21.36671","74.24051","Nandurbar city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/in-nandyal/city-centre","images/Neighborhood_POIs/in-nandyal/city-centre/","City Centre","Nandyāl","","India","IN","City Centre, Nandyāl, India","15.47799","78.4836","Nandyāl city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/in-narasaraopet/city-centre","images/Neighborhood_POIs/in-narasaraopet/city-centre/","City Centre","Narasaraopet","","India","IN","City Centre, Narasaraopet, India","16.23488","80.04927","Narasaraopet city center","Central urban district (auto-added, pop >=100k)"
"11","neighborhoods/in-narela/narela","images/Neighborhood_POIs/in-narela/narela/","Narela","Narela","","India","IN","Narela, Narela, India","28.852057","77.088031","Narela Bus Stand","Central town district"
"12","neighborhoods/in-narmadapuram/city-centre","images/Neighborhood_POIs/in-narmadapuram/city-centre/","City Centre","Narmadapuram","","India","IN","City Centre, Narmadapuram, India","22.74747","77.72736","Narmadapuram city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/in-nashik/college-road","images/Neighborhood_POIs/in-nashik/college-road/","College Road","Nashik","","India","IN","College Road, Nashik, India","20.0059917","73.7629596","College Road Nashik","Upscale commercial dining area"
"14","neighborhoods/in-nashik/gangapur-road","images/Neighborhood_POIs/in-nashik/gangapur-road/","Gangapur Road","Nashik","","India","IN","Gangapur Road, Nashik, India","20.0105992","73.7629376","Gangapur Road Bus Stand","Affluent residential commercial district"
"15","neighborhoods/in-navadwip/city-centre","images/Neighborhood_POIs/in-navadwip/city-centre/","City Centre","Navadwīp","","India","IN","City Centre, Navadwīp, India","23.4067","88.36861","Navadwīp city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/in-nellore/city-center","images/Neighborhood_POIs/in-nellore/city-center/","City Center","Nellore","","India","IN","City Center, Nellore, India","14.4420477","79.9773755","Nellore Bus Station","central commercial core"
"17","neighborhoods/in-new-delhi/lodhi-colony","images/Neighborhood_POIs/in-new-delhi/lodhi-colony/","Lodhi Colony","New Delhi","","India","IN","Lodhi Colony, New Delhi, India","28.5853628","77.2233349","Lodhi Art District","affluent leafy arts district"
"18","neighborhoods/in-neyveli/city-centre","images/Neighborhood_POIs/in-neyveli/city-centre/","City Centre","Neyveli","","India","IN","City Centre, Neyveli, India","11.60877","79.4994","Neyveli city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/in-nimach/city-centre","images/Neighborhood_POIs/in-nimach/city-centre/","City Centre","Nimach","","India","IN","City Centre, Nimach, India","24.45949","74.86625","Nimach city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/in-nizamabad/centre","images/Neighborhood_POIs/in-nizamabad/centre/","Centre","Nizāmābād","","India","IN","Centre, Nizāmābād, India","18.6761147","78.0996776","Nizamabad Bus Station","Central commercial core"
"01","neighborhoods/in-noida/uttar-pradesh","images/Neighborhood_POIs/in-noida/uttar-pradesh/","Uttar Pradesh","Noida","","India","IN","Uttar Pradesh, Noida, India","28.5702192","77.3270858","Sector 18 Market Noida","Sector 18, Commercial hub, dining, malls"
"02","neighborhoods/in-nowrangapur/city-centre","images/Neighborhood_POIs/in-nowrangapur/city-centre/","City Centre","Nowrangapur","","India","IN","City Centre, Nowrangapur, India","19.23114","82.54826","Nowrangapur city center","Central urban district (auto-added, pop >=100k)"
"03","neighborhoods/in-ongole/city-centre","images/Neighborhood_POIs/in-ongole/city-centre/","City Centre","Ongole","","India","IN","City Centre, Ongole, India","15.50357","80.04454","Ongole city center","Central urban district (auto-added, pop >=100k)"
"04","neighborhoods/in-ooty/city-centre","images/Neighborhood_POIs/in-ooty/city-centre/","City Centre","Ooty","","India","IN","City Centre, Ooty, India","11.4134","76.69521","Ooty city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/in-orai/city-centre","images/Neighborhood_POIs/in-orai/city-centre/","City Centre","Orai","","India","IN","City Centre, Orai, India","25.99023","79.45334","Orai city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/in-palakkad/city-centre","images/Neighborhood_POIs/in-palakkad/city-centre/","City Centre","Palakkad","","India","IN","City Centre, Palakkad, India","10.77319","76.65366","Palakkad city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/in-palanpur/city-centre","images/Neighborhood_POIs/in-palanpur/city-centre/","City Centre","Pālanpur","","India","IN","City Centre, Pālanpur, India","24.17128","72.43827","Pālanpur city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/in-pali/city-centre","images/Neighborhood_POIs/in-pali/city-centre/","City Centre","Pāli","","India","IN","City Centre, Pāli, India","25.77276","73.32335","Pāli city center","Central urban district (auto-added, pop >=100k)"
"09","neighborhoods/in-palwal/city-centre","images/Neighborhood_POIs/in-palwal/city-centre/","City Centre","Palwal","","India","IN","City Centre, Palwal, India","28.14469","77.32546","Palwal city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/in-panihati/town-center","images/Neighborhood_POIs/in-panihati/town-center/","Town Center","Pānihāti","","India","IN","Town Center, Pānihāti, India","22.6976194","88.3897144","Panihati Market","Central district"
"11","neighborhoods/in-panipat/town-centre","images/Neighborhood_POIs/in-panipat/town-centre/","Town Centre","Panipat","","India","IN","Town Centre, Panipat, India","29.3979302","76.9696755","Panipat Bus Stand","Central commercial area"
"12","neighborhoods/in-parbhani/city-centre","images/Neighborhood_POIs/in-parbhani/city-centre/","City Centre","Parbhani","","India","IN","City Centre, Parbhani, India","19.26855","76.77081","Parbhani city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/in-patan/city-centre","images/Neighborhood_POIs/in-patan/city-centre/","City Centre","Pātan","","India","IN","City Centre, Pātan, India","23.8507","72.12963","Pātan city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/in-pathankot/city-centre","images/Neighborhood_POIs/in-pathankot/city-centre/","City Centre","Pathānkot","","India","IN","City Centre, Pathānkot, India","32.27484","75.65287","Pathānkot city center","Central urban district (auto-added, pop >=100k)"
"15","neighborhoods/in-patiala/city-center","images/Neighborhood_POIs/in-patiala/city-center/","City Center","Patiāla","","India","IN","City Center, Patiāla, India","30.3248034","76.4039871","Patiala Qila Mubarak","central area near old city"
"16","neighborhoods/in-patna/boring-road","images/Neighborhood_POIs/in-patna/boring-road/","Boring Road","Patna","","India","IN","Boring Road, Patna, India","25.6127286","85.1185405","Boring Road Crossing","Upscale commercial dining hub"
"17","neighborhoods/in-patna/frazer-road","images/Neighborhood_POIs/in-patna/frazer-road/","Frazer Road","Patna","","India","IN","Frazer Road, Patna, India","25.6073388","85.1362679","Frazer Road Market","Central business district"
"18","neighborhoods/in-phagwara/city-centre","images/Neighborhood_POIs/in-phagwara/city-centre/","City Centre","Phagwāra","","India","IN","City Centre, Phagwāra, India","31.22452","75.77387","Phagwāra city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/in-pilibhit/city-centre","images/Neighborhood_POIs/in-pilibhit/city-centre/","City Centre","Pīlibhīt","","India","IN","City Centre, Pīlibhīt, India","28.63124","79.80436","Pīlibhīt city center","Central urban district (auto-added, pop >=100k)"
"00","neighborhoods/in-pimpri/pimpri-chinchwad-central","images/Neighborhood_POIs/in-pimpri/pimpri-chinchwad-central/","Pimpri-Chinchwad Central","Pimpri","","India","IN","Pimpri-Chinchwad Central, Pimpri, India","18.6282929","73.8045792","Pimpri-Chinchwad Municipal Corporation","Central commercial industrial hub"
"01","neighborhoods/in-pimpri-chinchwad/hinjewadi","images/Neighborhood_POIs/in-pimpri-chinchwad/hinjewadi/","Hinjewadi","Pimpri-Chinchwad","","India","IN","Hinjewadi, Pimpri-Chinchwad, India","18.5946784","73.7095365","Rajiv Gandhi Infotech Park","IT park professional hub"
"02","neighborhoods/in-pimpri-chinchwad/wakad","images/Neighborhood_POIs/in-pimpri-chinchwad/wakad/","Wakad","Pimpri-Chinchwad","","India","IN","Wakad, Pimpri-Chinchwad, India","18.5979054","73.7636752","Wakad Chowk","Upscale IT residential"
"03","neighborhoods/in-pithampur/city-centre","images/Neighborhood_POIs/in-pithampur/city-centre/","City Centre","Pithampur","","India","IN","City Centre, Pithampur, India","22.60197","75.69649","Pithampur city center","Central urban district (auto-added, pop >=100k)"
"04","neighborhoods/in-ponnani/city-centre","images/Neighborhood_POIs/in-ponnani/city-centre/","City Centre","Ponnāni","","India","IN","City Centre, Ponnāni, India","10.76695","75.92523","Ponnāni city center","Central urban district (auto-added, pop >=100k)"
"05","neighborhoods/in-porbandar/city-centre","images/Neighborhood_POIs/in-porbandar/city-centre/","City Centre","Porbandar","","India","IN","City Centre, Porbandar, India","21.64219","69.60929","Porbandar city center","Central urban district (auto-added, pop >=100k)"
"06","neighborhoods/in-port-blair/city-centre","images/Neighborhood_POIs/in-port-blair/city-centre/","City Centre","Port Blair","","India","IN","City Centre, Port Blair, India","11.66613","92.74635","Port Blair city center","Central urban district (auto-added, pop >=100k)"
"07","neighborhoods/in-proddatur/city-centre","images/Neighborhood_POIs/in-proddatur/city-centre/","City Centre","Proddatūr","","India","IN","City Centre, Proddatūr, India","14.7502","78.54813","Proddatūr city center","Central urban district (auto-added, pop >=100k)"
"08","neighborhoods/in-puducherry/boulevard-town","images/Neighborhood_POIs/in-puducherry/boulevard-town/","Boulevard Town","Puducherry","","India","IN","Boulevard Town, Puducherry, India","11.933294","79.835729","Promenade Beach","central walkable heritage area"
"09","neighborhoods/in-pudukkottai/city-centre","images/Neighborhood_POIs/in-pudukkottai/city-centre/","City Centre","Pudukkottai","","India","IN","City Centre, Pudukkottai, India","10.38128","78.82141","Pudukkottai city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/in-punasa/town-center","images/Neighborhood_POIs/in-punasa/town-center/","Town Center","Punāsa","","India","IN","Town Center, Punāsa, India","22.2360809","76.3897733","Punasa Bus Stand","central area"
"11","neighborhoods/in-pune/camp","images/Neighborhood_POIs/in-pune/camp/","Camp","Pune","","India","IN","Camp, Pune, India","18.5195841","73.8554208","Shaniwar Wada, Camp, Pune, India","Historic central shopping district"
"12","neighborhoods/in-puri/city-centre","images/Neighborhood_POIs/in-puri/city-centre/","City Centre","Puri","","India","IN","City Centre, Puri, India","19.79825","85.82494","Puri city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/in-purnia/line-bazaar","images/Neighborhood_POIs/in-purnia/line-bazaar/","Line Bazaar","Purnia","","India","IN","Line Bazaar, Purnia, India","25.7814637","87.4888807","Line Bazaar Market","central commercial market area"
"14","neighborhoods/in-puruliya/city-centre","images/Neighborhood_POIs/in-puruliya/city-centre/","City Centre","Puruliya","","India","IN","City Centre, Puruliya, India","23.33062","86.36303","Puruliya city center","Central urban district (auto-added, pop >=100k)"
"15","neighborhoods/in-raebareli/city-centre","images/Neighborhood_POIs/in-raebareli/city-centre/","City Centre","Raebareli","","India","IN","City Centre, Raebareli, India","26.2309","81.23315","Raebareli city center","Central urban district (auto-added, pop >=100k)"
"16","neighborhoods/in-raichur/city-centre","images/Neighborhood_POIs/in-raichur/city-centre/","City Centre","Rāichūr","","India","IN","City Centre, Rāichūr, India","16.20546","77.35567","Rāichūr city center","Central urban district (auto-added, pop >=100k)"
"17","neighborhoods/in-raiganj/city-centre","images/Neighborhood_POIs/in-raiganj/city-centre/","City Centre","Rāiganj","","India","IN","City Centre, Rāiganj, India","25.61281","88.12449","Rāiganj city center","Central urban district (auto-added, pop >=100k)"
"18","neighborhoods/in-raigarh/city-centre","images/Neighborhood_POIs/in-raigarh/city-centre/","City Centre","Raigarh","","India","IN","City Centre, Raigarh, India","21.89764","83.3966","Raigarh city center","Central urban district (auto-added, pop >=100k)"
"19","neighborhoods/in-raipur/civil-lines","images/Neighborhood_POIs/in-raipur/civil-lines/","Civil Lines","Raipur","","India","IN","Civil Lines, Raipur, India","21.2540646","81.6486351","Raipur Civil Lines Market","Upscale central commercial area"
"00","neighborhoods/in-raj-nandgaon/city-centre","images/Neighborhood_POIs/in-raj-nandgaon/city-centre/","City Centre","Rāj-Nāndgaon","","India","IN","City Centre, Rāj-Nāndgaon, India","21.09687","81.0289","Rāj-Nāndgaon city center","Central urban district (auto-added, pop >=100k)"
"01","neighborhoods/in-rajamahendravaram/city-center","images/Neighborhood_POIs/in-rajamahendravaram/city-center/","City Center","Rajamahendravaram","","India","IN","City Center, Rajamahendravaram, India","17.0078553","81.7570098","Rajamahendravaram Godavari Bridge","Central commercial district"
"02","neighborhoods/in-rajapalayam/city-centre","images/Neighborhood_POIs/in-rajapalayam/city-centre/","City Centre","Rajapalayam","","India","IN","City Centre, Rajapalayam, India","9.45296","77.55335","Rajapalayam city center","Central urban district (auto-added, pop >=100k)"
"03","neighborhoods/in-rajkot/kalavad-road","images/Neighborhood_POIs/in-rajkot/kalavad-road/","Kalavad Road","Rājkot","","India","IN","Kalavad Road, Rājkot, India","22.2795778","70.7632828","Kalavad Road Market","Affluent residential commercial district"
"04","neighborhoods/in-rajkot/race-course-road","images/Neighborhood_POIs/in-rajkot/race-course-road/","Race Course Road","Rājkot","","India","IN","Race Course Road, Rājkot, India","22.3062012","70.7900754","Race Course Ground","Upscale commercial dining area"
"05","neighborhoods/in-ramgundam/city-center","images/Neighborhood_POIs/in-ramgundam/city-center/","City Center","Rāmgundam","","India","IN","City Center, Rāmgundam, India","18.7741958","79.4386166","Ramgundam Bus Station","Central commercial district"
"06","neighborhoods/in-rampur/town-centre","images/Neighborhood_POIs/in-rampur/town-centre/","Town Centre","Rāmpur","","India","IN","Town Centre, Rāmpur, India","28.7780715","79.0265548","Rampur Bus Stand","Central commercial area"
"07","neighborhoods/in-ranchi/lalpur","images/Neighborhood_POIs/in-ranchi/lalpur/","Lalpur","Ranchi","","India","IN","Lalpur, Ranchi, India","23.3754483","85.3345878","Lalpur Market","Central commercial dining hub"
"08","neighborhoods/in-ranchi/main-road-albert-ekka-chowk","images/Neighborhood_POIs/in-ranchi/main-road-albert-ekka-chowk/","Main Road / Albert Ekka Chowk","Ranchi","","India","IN","Main Road / Albert Ekka Chowk, Ranchi, India","23.3701213","85.3249572","Albert Ekka Chowk","Central walkable commercial strip"
"09","neighborhoods/in-ranebennur/city-centre","images/Neighborhood_POIs/in-ranebennur/city-centre/","City Centre","Ranebennur","","India","IN","City Centre, Ranebennur, India","14.62239","75.62951","Ranebennur city center","Central urban district (auto-added, pop >=100k)"
"10","neighborhoods/in-ranipet/city-center","images/Neighborhood_POIs/in-ranipet/city-center/","City Center","Rānipet","","India","IN","City Center, Rānipet, India","12.9286942","79.3413263","Ranipet Bus Stand","central commercial area"
"11","neighborhoods/in-ratlam/city-center","images/Neighborhood_POIs/in-ratlam/city-center/","City Center","Ratlām","","India","IN","City Center, Ratlām, India","28.6561592","77.2410203","Ratlām Fort","central commercial area"
"12","neighborhoods/in-rewa/city-centre","images/Neighborhood_POIs/in-rewa/city-centre/","City Centre","Rewa","","India","IN","City Centre, Rewa, India","24.53256","81.29234","Rewa city center","Central urban district (auto-added, pop >=100k)"
"13","neighborhoods/in-rewari/city-centre","images/Neighborhood_POIs/in-rewari/city-centre/","City Centre","Rewāri","","India","IN","City Centre, Rewāri, India","28.199","76.6183","Rewāri city center","Central urban district (auto-added, pop >=100k)"
"14","neighborhoods/in-robertsonpet/city-centre","images/Neighborhood_POIs/in-robertsonpet/city-centre/","City Centre","Robertsonpet","","India","IN","City Centre, Robertsonpet, India","12.95629","78.27539","Robertsonpet city center","Central urban district (auto-added, pop >=100k)"
"15","neighborhoods/in-rohini/sector-7-9","images/Neighborhood_POIs/in-rohini/sector-7-9/","Sector 7-9","Rohini","","India","IN","Sector 7-9, Rohini, India","28.7115789","77.1243739","Rohini Sector 7-9 Market","established commercial and retail hub"
"16","neighborhoods/in-rohtak/city-center","images/Neighborhood_POIs/in-rohtak/city-center/","City Center","Rohtak","","India","IN","City Center, Rohtak, India","28.895418","76.582785","Rohtak Clock Tower","Central commercial district"
"17","neighborhoods/in-roorkee/city-centre","images/Neighborhood_POIs/in-roorkee/city-centre/","City Centre","Roorkee","","India","IN","City Centre, Roorkee, India","29.86632","77.89118","Roorkee city center","Central urban district (auto-added, pop >=100k)"
"18","neighborhoods/in-rourkela/civil-township","images/Neighborhood_POIs/in-rourkela/civil-township/","Civil Township","Rourkela","","India","IN","Civil Township, Rourkela, India","22.2562617","84.8661826","Rourkela Civic Centre","Planned central residential commercial"
"19","neighborhoods/in-rudrapur/city-centre","images/Neighborhood_POIs/in-rudrapur/city-centre/","City Centre","Rudrapur","","India","IN","City Centre, Rudrapur, India","28.98","79.4","Rudrapur city center","Central urban district (auto-added, pop >=100k)"
